title,acousticness,analysis_url,artist,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
Sorry,0.0024,https://api.spotify.com/v1/audio-analysis/6rAXHPd18PZ6W8m9EectzH,Nothing But Thieves,0.666,214707,0.776,6rAXHPd18PZ6W8m9EectzH,4.51e-05,8,0.134,-4.535,0,0.0281,128.009,4,https://api.spotify.com/v1/tracks/6rAXHPd18PZ6W8m9EectzH,audio_features,spotify:track:6rAXHPd18PZ6W8m9EectzH,0.518
This Is Gospel,0.00155,https://api.spotify.com/v1/audio-analysis/3yZQk5PC52CCmT4ZaTIKvv,Panic! At The Disco,0.572,187187,0.912,3yZQk5PC52CCmT4ZaTIKvv,1.2e-06,7,0.102,-4.875,1,0.0707,156.073,4,https://api.spotify.com/v1/tracks/3yZQk5PC52CCmT4ZaTIKvv,audio_features,spotify:track:3yZQk5PC52CCmT4ZaTIKvv,0.606
Train,0.0433,https://api.spotify.com/v1/audio-analysis/5fAeD0Y8eG2EWN2e5ZRpxa,Brick + Mortar,0.596,185030,0.729,5fAeD0Y8eG2EWN2e5ZRpxa,0.151,7,0.135,-5.82,1,0.0698,149.999,4,https://api.spotify.com/v1/tracks/5fAeD0Y8eG2EWN2e5ZRpxa,audio_features,spotify:track:5fAeD0Y8eG2EWN2e5ZRpxa,0.56
Stressed Out,0.0462,https://api.spotify.com/v1/audio-analysis/3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,0.734,202333,0.637,3CRDbSIZ4r5MsZ0YwxuEkn,2.29e-05,4,0.0602,-5.677,0,0.141,169.977,4,https://api.spotify.com/v1/tracks/3CRDbSIZ4r5MsZ0YwxuEkn,audio_features,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,0.648
Friday Fighting,0.000612,https://api.spotify.com/v1/audio-analysis/7MRJJbjlgJF6n9QHbp6IA9,Sam Fender,0.598,190259,0.843,7MRJJbjlgJF6n9QHbp6IA9,0.00216,6,0.117,-6.02,1,0.0266,136.006,4,https://api.spotify.com/v1/tracks/7MRJJbjlgJF6n9QHbp6IA9,audio_features,spotify:track:7MRJJbjlgJF6n9QHbp6IA9,0.646
Soundcheck,0.000995,https://api.spotify.com/v1/audio-analysis/60W7Co2AoP5VVG5Gwu6p5P,Catfish and the Bottlemen,0.602,261560,0.755,60W7Co2AoP5VVG5Gwu6p5P,0.0799,2,0.412,-5.791,1,0.0397,135.042,4,https://api.spotify.com/v1/tracks/60W7Co2AoP5VVG5Gwu6p5P,audio_features,spotify:track:60W7Co2AoP5VVG5Gwu6p5P,0.646
"Lady, Please",0.164,https://api.spotify.com/v1/audio-analysis/4sBw1uMPTBO5EJjzRtAek4,The Magic Gang,0.672,174545,0.683,4sBw1uMPTBO5EJjzRtAek4,1.37e-05,4,0.294,-5.33,1,0.0326,121.985,4,https://api.spotify.com/v1/tracks/4sBw1uMPTBO5EJjzRtAek4,audio_features,spotify:track:4sBw1uMPTBO5EJjzRtAek4,0.857
Get Better,0.0091,https://api.spotify.com/v1/audio-analysis/7jnQZIvGbJTAEvZVCIYLse,Nothing But Thieves,0.608,199080,0.697,7jnQZIvGbJTAEvZVCIYLse,0.000113,4,0.207,-3.903,0,0.0446,155.979,4,https://api.spotify.com/v1/tracks/7jnQZIvGbJTAEvZVCIYLse,audio_features,spotify:track:7jnQZIvGbJTAEvZVCIYLse,0.519
Vegas Lights,0.000433,https://api.spotify.com/v1/audio-analysis/0zewUY3RSh8yaV7q66Okem,Panic! At The Disco,0.68,189107,0.847,0zewUY3RSh8yaV7q66Okem,0.0,5,0.331,-5.987,1,0.0449,123.96,4,https://api.spotify.com/v1/tracks/0zewUY3RSh8yaV7q66Okem,audio_features,spotify:track:0zewUY3RSh8yaV7q66Okem,0.834
Heavydirtysoul,0.00397,https://api.spotify.com/v1/audio-analysis/7i9763l5SSfOnqZ35VOcfy,Twenty One Pilots,0.613,234813,0.873,7i9763l5SSfOnqZ35VOcfy,0.00111,7,0.367,-6.376,0,0.0449,129.989,4,https://api.spotify.com/v1/tracks/7i9763l5SSfOnqZ35VOcfy,audio_features,spotify:track:7i9763l5SSfOnqZ35VOcfy,0.392
Uma Thurman,0.102,https://api.spotify.com/v1/audio-analysis/5PUawWFG1oIS2NwEcyHaCr,Fall Out Boy,0.622,211573,0.961,5PUawWFG1oIS2NwEcyHaCr,0.00016,4,0.264,-2.616,0,0.0669,149.962,4,https://api.spotify.com/v1/tracks/5PUawWFG1oIS2NwEcyHaCr,audio_features,spotify:track:5PUawWFG1oIS2NwEcyHaCr,0.687
English Kids In America,0.000989,https://api.spotify.com/v1/audio-analysis/1KGxhzja9uGBD96Y67I8qK,Lower Than Atlantis,0.61,203480,0.736,1KGxhzja9uGBD96Y67I8qK,8.54e-05,2,0.111,-5.946,1,0.054,141.026,4,https://api.spotify.com/v1/tracks/1KGxhzja9uGBD96Y67I8qK,audio_features,spotify:track:1KGxhzja9uGBD96Y67I8qK,0.589
Centred on You,0.000886,https://api.spotify.com/v1/audio-analysis/6M8Uiq9wextfsVF12jmJqa,Atlas Genius,0.716,214200,0.645,6M8Uiq9wextfsVF12jmJqa,0.0,10,0.0949,-5.692,1,0.0304,121.002,4,https://api.spotify.com/v1/tracks/6M8Uiq9wextfsVF12jmJqa,audio_features,spotify:track:6M8Uiq9wextfsVF12jmJqa,0.585
You Know Me Too Well,0.00122,https://api.spotify.com/v1/audio-analysis/1BpmL4NBhX2P7GxuoVtojI,Nothing But Thieves,0.605,233485,0.688,1BpmL4NBhX2P7GxuoVtojI,0.0036,11,0.277,-5.042,0,0.0325,135.936,4,https://api.spotify.com/v1/tracks/1BpmL4NBhX2P7GxuoVtojI,audio_features,spotify:track:1BpmL4NBhX2P7GxuoVtojI,0.773
White Eyes,0.0196,https://api.spotify.com/v1/audio-analysis/29iHI9FTSHeC4x4ZUnU5Id,The Wombats,0.567,253421,0.952,29iHI9FTSHeC4x4ZUnU5Id,0.0,0,0.292,-2.554,0,0.0509,124.968,4,https://api.spotify.com/v1/tracks/29iHI9FTSHeC4x4ZUnU5Id,audio_features,spotify:track:29iHI9FTSHeC4x4ZUnU5Id,0.584
Polarize,0.122,https://api.spotify.com/v1/audio-analysis/6GmkJJMe9U1tEcrJ3Hq3A1,Twenty One Pilots,0.597,226787,0.666,6GmkJJMe9U1tEcrJ3Hq3A1,0.00302,6,0.1,-6.365,0,0.0418,164.992,4,https://api.spotify.com/v1/tracks/6GmkJJMe9U1tEcrJ3Hq3A1,audio_features,spotify:track:6GmkJJMe9U1tEcrJ3Hq3A1,0.626
Bottom Of The Deep Blue Sea,0.0248,https://api.spotify.com/v1/audio-analysis/6AvslIXIi9iaGvukefyVVK,MISSIO,0.573,231587,0.754,6AvslIXIi9iaGvukefyVVK,0.00019,4,0.104,-4.788,1,0.0329,132.964,4,https://api.spotify.com/v1/tracks/6AvslIXIi9iaGvukefyVVK,audio_features,spotify:track:6AvslIXIi9iaGvukefyVVK,0.241
Book Of Love,0.00116,https://api.spotify.com/v1/audio-analysis/5wRyZCzNR05p59fUJEpVkf,Tonight Alive,0.584,188933,0.903,5wRyZCzNR05p59fUJEpVkf,0.0,4,0.204,-2.995,0,0.0386,126.041,4,https://api.spotify.com/v1/tracks/5wRyZCzNR05p59fUJEpVkf,audio_features,spotify:track:5wRyZCzNR05p59fUJEpVkf,0.396
All These Girls,0.00502,https://api.spotify.com/v1/audio-analysis/5d3HKoKvqtN0gRDjt3RcBL,Atlas Genius,0.655,204027,0.838,5d3HKoKvqtN0gRDjt3RcBL,0.0,1,0.313,-4.855,1,0.0361,148.018,4,https://api.spotify.com/v1/tracks/5d3HKoKvqtN0gRDjt3RcBL,audio_features,spotify:track:5d3HKoKvqtN0gRDjt3RcBL,0.406
Number 13,0.00448,https://api.spotify.com/v1/audio-analysis/2dgrCJ9raXfG4XrjUYFYyo,Nothing But Thieves,0.63,177173,0.873,2dgrCJ9raXfG4XrjUYFYyo,0.000238,11,0.144,-4.366,0,0.0743,125.072,4,https://api.spotify.com/v1/tracks/2dgrCJ9raXfG4XrjUYFYyo,audio_features,spotify:track:2dgrCJ9raXfG4XrjUYFYyo,0.656
